epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,80.6669,1.45829,0.97845,0.7382,0.6744,0.70674,0.70308,0.34135,1.79335,1.40924,0.78618,0.000494885,0.000494885,0.000494885
43,82.5107,1.40295,0.97063,0.74212,0.68103,0.68706,0.68307,0.31079,1.99499,1.44827,0.79726,0.000486639,0.000486639,0.000486639
44,84.3666,1.39394,0.95315,0.74178,0.67926,0.60031,0.62221,0.27404,1.99417,1.53795,0.79615,0.000478392,0.000478392,0.000478392
45,86.2044,1.44381,0.97098,0.74447,0.63716,0.58571,0.597,0.26994,1.88895,1.56329,0.79335,0.000470145,0.000470145,0.000470145
46,88.061,1.46095,0.96804,0.73629,0.71043,0.70867,0.71973,0.31768,1.94842,1.36457,0.79258,0.000461898,0.000461898,0.000461898
47,89.9799,1.4115,0.92159,0.74646,0.70481,0.77725,0.73924,0.37217,1.78872,1.23514,0.78522,0.000453652,0.000453652,0.000453652
48,91.9072,1.47445,0.92246,0.74073,0.64359,0.73934,0.68959,0.30944,1.94948,1.37698,0.79234,0.000445405,0.000445405,0.000445405
49,93.7448,1.40225,0.90818,0.74661,0.6378,0.66816,0.63175,0.25345,2.14949,1.4776,0.80389,0.000437158,0.000437158,0.000437158
50,95.7026,1.41841,0.91221,0.73657,0.64619,0.67204,0.61731,0.25698,2.16965,1.46043,0.80599,0.000428912,0.000428912,0.000428912
51,97.5576,1.39125,0.91189,0.73968,0.6883,0.7301,0.70615,0.30944,1.9608,1.37119,0.79526,0.000420665,0.000420665,0.000420665
52,99.4593,1.37207,0.91751,0.73654,0.67888,0.72407,0.71437,0.32587,1.96079,1.35696,0.79353,0.000412418,0.000412418,0.000412418
53,101.373,1.41553,0.88839,0.73522,0.62839,0.72088,0.68949,0.34723,1.74759,1.40941,0.78383,0.000404172,0.000404172,0.000404172
54,103.315,1.37147,0.86095,0.74547,0.56569,0.66801,0.58931,0.25949,2.05919,1.47609,0.80391,0.000395925,0.000395925,0.000395925
55,105.276,1.34856,0.86215,0.73787,0.58258,0.63159,0.58074,0.24678,2.06412,1.52446,0.8052,0.000387678,0.000387678,0.000387678
56,107.215,1.33256,0.87032,0.74198,0.62178,0.58033,0.5688,0.22508,2.3561,1.49505,0.81755,0.000379431,0.000379431,0.000379431
57,109.187,1.52201,0.894,0.73601,0.64449,0.69561,0.68294,0.36101,1.6707,1.38718,0.77554,0.000371185,0.000371185,0.000371185
58,111.221,1.50729,0.88612,0.7387,0.62075,0.56191,0.53843,0.20015,2.39776,1.55525,0.82143,0.000362938,0.000362938,0.000362938
59,113.19,1.52215,0.91411,0.73653,0.68548,0.67582,0.65798,0.34904,1.69132,1.45744,0.77696,0.000354691,0.000354691,0.000354691
60,115.074,1.47997,0.90214,0.74026,0.61447,0.64408,0.57558,0.22136,2.25444,1.6786,0.8098,0.000346445,0.000346445,0.000346445
61,116.921,1.5274,0.90801,0.73137,0.66836,0.67669,0.64677,0.29548,1.94266,1.53055,0.78771,0.000338198,0.000338198,0.000338198
62,118.778,1.40377,0.86057,0.73649,0.65207,0.66171,0.62103,0.2531,2.12433,1.49855,0.8072,0.000329951,0.000329951,0.000329951
63,120.68,1.37482,0.87389,0.7379,0.69876,0.64261,0.64976,0.32637,1.80008,1.50435,0.78234,0.000321705,0.000321705,0.000321705
64,122.553,1.39165,0.86769,0.73833,0.56294,0.61644,0.55022,0.22078,2.20457,1.58945,0.81432,0.000313458,0.000313458,0.000313458
65,124.423,1.36327,0.84307,0.73469,0.64298,0.69194,0.64378,0.2803,2.02726,1.43675,0.80085,0.000305211,0.000305211,0.000305211
66,126.31,1.33081,0.83903,0.73101,0.68891,0.68218,0.68898,0.28241,2.09948,1.39109,0.80181,0.000296964,0.000296964,0.000296964
67,128.259,1.33933,0.82219,0.73298,0.65745,0.72142,0.70025,0.29946,2.03853,1.34269,0.80037,0.000288718,0.000288718,0.000288718
68,130.133,1.30965,0.80474,0.73899,0.66024,0.73256,0.70322,0.34576,1.78924,1.28852,0.78929,0.000280471,0.000280471,0.000280471
69,131.968,1.37643,0.82603,0.74286,0.65982,0.68274,0.67666,0.30385,1.95703,1.35313,0.79787,0.000272224,0.000272224,0.000272224
70,133.816,1.29052,0.80208,0.74028,0.68221,0.74828,0.72755,0.35331,1.80413,1.33083,0.78733,0.000263978,0.000263978,0.000263978
71,135.695,1.33716,0.79614,0.73208,0.68909,0.73536,0.72677,0.3348,1.92065,1.32551,0.79327,0.000255731,0.000255731,0.000255731
72,137.562,1.3216,0.78475,0.74215,0.65176,0.75552,0.72591,0.35656,1.776,1.30652,0.78605,0.000247484,0.000247484,0.000247484
73,139.407,1.31797,0.7894,0.73663,0.6348,0.69198,0.68085,0.30272,1.96318,1.38154,0.79421,0.000239238,0.000239238,0.000239238
74,141.293,1.28082,0.78743,0.74076,0.65046,0.72327,0.70708,0.33986,1.8373,1.36298,0.79013,0.000230991,0.000230991,0.000230991
75,143.135,1.26435,0.79168,0.73397,0.66547,0.73333,0.7106,0.31849,1.99084,1.35374,0.7952,0.000222744,0.000222744,0.000222744
76,145.085,1.27139,0.78342,0.74008,0.67298,0.69261,0.65681,0.27624,2.08896,1.50266,0.80201,0.000214497,0.000214497,0.000214497
77,146.946,1.26212,0.75389,0.7329,0.6866,0.69347,0.67282,0.31514,1.9157,1.42634,0.79231,0.000206251,0.000206251,0.000206251
78,148.79,1.31736,0.78845,0.72761,0.68121,0.67842,0.66524,0.27896,2.11008,1.42401,0.80429,0.000198004,0.000198004,0.000198004
79,150.65,1.28803,0.76086,0.73098,0.66179,0.69926,0.68159,0.33066,1.86442,1.38727,0.79062,0.000189757,0.000189757,0.000189757
80,152.499,1.23198,0.77903,0.73589,0.68735,0.68057,0.66173,0.28177,2.09628,1.38432,0.80514,0.000181511,0.000181511,0.000181511
