epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,88.1414,1.41159,0.61212,0.73989,0.96611,0.99628,0.99008,0.63144,1.3358,0.60085,0.74314,0.000848969,0.000848969,0.000848969
43,90.2154,1.45192,0.60758,0.73566,0.96659,0.99661,0.99013,0.66112,1.20889,0.57589,0.73792,0.000834822,0.000834822,0.000834822
44,92.3148,1.46256,0.61151,0.73742,0.99677,0.98748,0.99236,0.66725,1.19898,0.56612,0.73603,0.000820675,0.000820675,0.000820675
45,94.3909,1.38341,0.59092,0.74272,0.99629,0.98721,0.99209,0.68734,1.12122,0.54351,0.73617,0.000806528,0.000806528,0.000806528
46,96.4243,1.39561,0.59772,0.74063,0.98436,0.99571,0.99444,0.66026,1.25296,0.55729,0.73605,0.00079238,0.00079238,0.00079238
47,98.4686,1.35202,0.59087,0.7372,0.9946,0.98721,0.99198,0.66135,1.18933,0.56887,0.73411,0.000778233,0.000778233,0.000778233
48,100.577,1.37543,0.57442,0.74169,0.99246,0.98578,0.99198,0.69032,1.11757,0.55512,0.73555,0.000764086,0.000764086,0.000764086
49,102.636,1.30231,0.56608,0.7439,0.99338,0.98124,0.9918,0.66269,1.1875,0.56989,0.73514,0.000749939,0.000749939,0.000749939
50,104.697,1.35531,0.57324,0.73148,0.98492,0.98977,0.9916,0.65062,1.24598,0.58707,0.73923,0.000735792,0.000735792,0.000735792
51,106.753,1.30326,0.56471,0.73496,0.99582,0.98593,0.99167,0.68272,1.10711,0.54437,0.73303,0.000721645,0.000721645,0.000721645
52,108.838,1.27344,0.55721,0.74072,0.99557,0.98082,0.99283,0.67572,1.13481,0.54743,0.73694,0.000707498,0.000707498,0.000707498
53,110.867,1.28406,0.5613,0.73464,0.99711,0.98466,0.99257,0.69457,1.07602,0.51117,0.72987,0.000693351,0.000693351,0.000693351
54,112.91,1.25377,0.55009,0.74082,0.99585,0.98849,0.99174,0.69102,1.15087,0.52822,0.73464,0.000679204,0.000679204,0.000679204
55,114.946,1.29027,0.55548,0.73341,0.99691,0.98704,0.99195,0.69592,1.12767,0.52457,0.736,0.000665057,0.000665057,0.000665057
56,117.002,1.24694,0.54787,0.73922,0.99581,0.98465,0.99196,0.64067,1.33636,0.57995,0.74169,0.000650909,0.000650909,0.000650909
57,119.048,1.31221,0.55671,0.73748,0.99568,0.98724,0.99278,0.68952,1.09795,0.53802,0.73604,0.000636762,0.000636762,0.000636762
58,121.061,1.26236,0.55856,0.74477,0.9951,0.99278,0.99247,0.69782,1.08075,0.52369,0.73374,0.000622615,0.000622615,0.000622615
59,123.112,1.20069,0.53782,0.74787,0.9957,0.99171,0.99298,0.67458,1.16268,0.52596,0.73572,0.000608468,0.000608468,0.000608468
60,125.157,1.27171,0.55148,0.73003,0.99712,0.98803,0.99287,0.68695,1.12375,0.51668,0.72978,0.000594321,0.000594321,0.000594321
61,127.183,1.25118,0.56073,0.73183,0.99712,0.99141,0.99472,0.64724,1.24153,0.55322,0.73982,0.000580174,0.000580174,0.000580174
62,129.244,1.22865,0.54289,0.73952,0.99453,0.99099,0.99489,0.67579,1.12081,0.50319,0.73484,0.000566027,0.000566027,0.000566027
63,131.288,1.29416,0.55038,0.73086,0.99657,0.98794,0.99473,0.67236,1.16891,0.51803,0.72973,0.00055188,0.00055188,0.00055188
64,133.339,1.22394,0.54651,0.74121,0.99662,0.98751,0.994,0.6833,1.11844,0.53304,0.73096,0.000537733,0.000537733,0.000537733
65,135.355,1.20349,0.52989,0.73809,0.9967,0.98842,0.99252,0.68055,1.14521,0.55165,0.73667,0.000523586,0.000523586,0.000523586
66,137.392,1.19899,0.52802,0.73527,0.99662,0.98849,0.99352,0.66814,1.18044,0.54706,0.73555,0.000509438,0.000509438,0.000509438
67,139.443,1.19721,0.51977,0.73142,0.99711,0.98705,0.99354,0.68824,1.14539,0.52991,0.73637,0.000495291,0.000495291,0.000495291
68,141.493,1.18129,0.51391,0.74244,0.99712,0.98934,0.99354,0.71306,1.03144,0.48978,0.73282,0.000481144,0.000481144,0.000481144
69,143.541,1.13163,0.49773,0.73697,0.99554,0.99413,0.99231,0.698,1.05537,0.48116,0.73033,0.000466997,0.000466997,0.000466997
70,145.567,1.19459,0.51744,0.74215,0.99531,0.99361,0.99245,0.67527,1.13646,0.51682,0.73608,0.00045285,0.00045285,0.00045285
71,147.589,1.22259,0.51895,0.73278,0.99604,0.99185,0.99431,0.67776,1.14159,0.5223,0.73339,0.000438703,0.000438703,0.000438703
72,149.616,1.18238,0.51251,0.73309,0.99587,0.98961,0.99368,0.69787,1.07997,0.50773,0.73234,0.000424556,0.000424556,0.000424556
73,151.654,1.22487,0.52062,0.72998,0.9953,0.99231,0.99278,0.70504,1.05868,0.5047,0.7289,0.000410409,0.000410409,0.000410409
74,153.663,1.17916,0.50849,0.73523,0.99648,0.99872,0.99349,0.70899,1.04677,0.50677,0.73319,0.000396262,0.000396262,0.000396262
75,155.681,1.17575,0.50915,0.73832,0.99578,0.99872,0.99255,0.70397,1.0215,0.50346,0.73187,0.000382115,0.000382115,0.000382115
76,157.729,1.15409,0.50044,0.73706,0.99587,0.98939,0.99262,0.70718,1.01182,0.49605,0.73188,0.000367967,0.000367967,0.000367967
77,159.769,1.17121,0.50933,0.73571,0.99662,0.98849,0.99421,0.68144,1.13811,0.52023,0.73607,0.00035382,0.00035382,0.00035382
78,161.798,1.22151,0.51428,0.73514,0.99642,0.98849,0.9914,0.69898,1.06613,0.51163,0.73444,0.000339673,0.000339673,0.000339673
79,163.817,1.15297,0.49534,0.74297,0.99642,0.98849,0.99251,0.71365,1.01376,0.49545,0.73162,0.000325526,0.000325526,0.000325526
80,165.862,1.10912,0.49632,0.73588,0.99583,0.99109,0.9938,0.71744,0.98003,0.4843,0.72993,0.000311379,0.000311379,0.000311379
81,167.913,1.13754,0.49013,0.74027,0.99585,0.98951,0.99223,0.70662,1.05276,0.50264,0.73145,0.000297232,0.000297232,0.000297232
82,169.944,1.17419,0.49874,0.7253,0.99603,0.99346,0.99365,0.71067,1.02349,0.47617,0.7297,0.000283085,0.000283085,0.000283085
83,171.975,1.16598,0.49231,0.73871,0.99696,0.98849,0.99357,0.68924,1.10836,0.51397,0.73145,0.000268938,0.000268938,0.000268938
84,174.018,1.16532,0.48715,0.72784,0.9969,0.98849,0.99275,0.69277,1.07453,0.51241,0.73245,0.000254791,0.000254791,0.000254791
85,176.037,1.14737,0.49367,0.73099,0.99667,0.98847,0.99376,0.70636,1.0384,0.50283,0.72813,0.000240644,0.000240644,0.000240644
86,178.063,1.14038,0.4796,0.72891,0.9962,0.98742,0.99413,0.71984,0.99997,0.48843,0.72888,0.000226497,0.000226497,0.000226497
87,180.096,1.16474,0.49582,0.72338,0.99607,0.98778,0.99354,0.70251,1.03335,0.48993,0.72955,0.000212349,0.000212349,0.000212349
