,Unnamed: 0,frame,class_id,class_name,confidence,track_id,pred_x,pred_y,x,y,lag_x,lag_y,in_bounds_x,in_bounds_y,in_bounds,dist,final_class_name,score,stone_settled,stone_initialized,stones_in_frame,stones_settled_in_frame,stones_initialized_in_frame,event
0,0,0,0,black_stone,0.8854806423187256,1,350.20867919921875,580.5711669921875,13.389512920134097,37.13406947478181,,,1,1,1,,black_stone,1,0,1,3,0.0,3.0,stone_initialized
1,0,1,0,black_stone,0.8859816193580627,1,350.22479248046875,580.565673828125,13.390442009627815,37.13470542682456,13.389512920134097,37.13406947478181,1,1,1,0.0011258962154724204,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
2,0,2,0,black_stone,0.8870864510536194,1,350.234375,580.511962890625,13.39101188665158,37.14103066939523,13.390442009627815,37.13470542682456,1,1,1,0.006350862413877667,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
3,0,3,0,black_stone,0.8852971792221069,1,350.2319641113281,580.485595703125,13.39088220454736,37.14414129475439,13.39101188665158,37.14103066939523,1,1,1,0.003113327411825357,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
4,0,4,0,black_stone,0.8856809735298157,1,350.24298095703125,580.5301513671875,13.391500877232996,37.13888006731865,13.39088220454736,37.14414129475439,1,1,1,0.00529747770382486,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
5,0,5,0,black_stone,0.8861565589904785,1,350.24688720703125,580.5445556640625,13.3917207005949,37.13717908507566,13.391500877232996,37.13888006731865,1,1,1,0.0017151276633009418,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
6,0,6,0,black_stone,0.8851286768913269,1,350.2330627441406,580.554931640625,13.39092160087521,37.13596581928498,13.3917207005949,37.13717908507566,1,1,1,0.001452781553032553,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
7,0,7,0,black_stone,0.8845373392105103,1,350.2774658203125,580.5772094726562,13.393469007702464,37.13330769681851,13.39092160087521,37.13596581928498,1,1,1,0.0036816975147749855,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
8,0,8,0,black_stone,0.8839836716651917,1,350.33087158203125,580.603515625,13.3965328409082,37.130168460597595,13.393469007702464,37.13330769681851,1,1,1,0.004386556504058009,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
9,0,9,0,black_stone,0.8847609758377075,1,350.3311767578125,580.625732421875,13.396542572078328,37.12754965583356,13.3965328409082,37.130168460597595,1,1,1,0.0026188228439119427,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
10,0,10,0,black_stone,0.886099100112915,1,350.340576171875,580.6072998046875,13.397089908491616,37.1297154426557,13.396542572078328,37.12754965583356,1,1,1,0.0022338777290317746,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
11,0,11,0,black_stone,0.8839623332023621,1,350.33892822265625,580.6053466796875,13.396995775285571,37.12994683958627,13.397089908491616,37.1297154426557,1,1,1,0.0002498111285662865,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
12,0,12,0,black_stone,0.8827856779098511,1,350.3002624511719,580.5665283203125,13.39478451790229,37.13455039749109,13.396995775285571,37.12994683958627,1,1,1,0.0051070935568256,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
13,0,13,0,black_stone,0.8839174509048462,1,350.2522277832031,580.578857421875,13.39201617929991,37.13313159743757,13.39478451790229,37.13455039749109,1,1,1,0.003110738209701529,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
14,0,14,0,black_stone,0.883404552936554,1,350.2085266113281,580.5687255859375,13.389504973395333,37.13435738109091,13.39201617929991,37.13313159743757,1,1,1,0.0027944052426190566,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
15,0,15,0,black_stone,0.8836343884468079,1,350.2026672363281,580.5772094726562,13.38916491409463,37.13336151329649,13.389504973395333,37.13435738109091,1,1,1,0.0010523274167046834,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
16,0,16,0,black_stone,0.8842889070510864,1,350.21820068359375,580.631591796875,13.390040132116884,37.12694035646067,13.38916491409463,37.13336151329649,1,1,1,0.006480529430276457,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
17,0,17,0,black_stone,0.8840627670288086,1,350.218505859375,580.62939453125,13.390058443261111,37.12719910499049,13.390040132116884,37.12694035646067,1,1,1,0.00025939564314979134,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
18,0,18,0,black_stone,0.8853961825370789,1,350.1822814941406,580.5901489257812,13.3879874823129,37.13185092418629,13.390058443261111,37.12719910499049,1,1,1,0.005091984002275606,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
19,0,19,0,black_stone,0.8837057948112488,1,350.1925048828125,580.5916137695312,13.38857525051364,37.13167090191786,13.3879874823129,37.13185092418629,1,1,1,0.0006147190211242272,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
20,0,20,0,black_stone,0.8826027512550354,1,350.20343017578125,580.539794921875,13.389221574043605,37.137771603071165,13.38857525051364,37.13167090191786,1,1,1,0.0061348421876490375,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
21,0,21,0,black_stone,0.8823559880256653,1,350.18524169921875,580.564697265625,13.388166453330614,37.134849003189714,13.389221574043605,37.137771603071165,1,1,1,0.0031072286343363565,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
22,0,22,0,black_stone,0.8823691606521606,1,350.1787109375,580.5689697265625,13.387789203072815,37.13435005318764,13.388166453330614,37.134849003189714,1,1,1,0.0006255148771855436,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
23,0,23,0,black_stone,0.8834457397460938,1,350.1482238769531,580.572998046875,13.386033529947312,37.13389712540306,13.387789203072815,37.13435005318764,1,1,1,0.001813155178592665,black_stone,1,1,0,3,3.0,0.0,all_stones_settled
