epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,93.4921,1.48595,0.97599,0.77015,0.96228,0.97483,0.96451,0.58816,1.39027,0.65322,0.74884,0.000494885,0.000494885,0.000494885
43,95.6595,1.47527,0.95483,0.75667,0.93781,0.93582,0.96464,0.57865,1.44477,0.71042,0.75051,0.000486639,0.000486639,0.000486639
44,97.853,1.42065,0.94342,0.7741,0.9099,0.91698,0.95558,0.56131,1.48746,0.75041,0.75795,0.000478392,0.000478392,0.000478392
45,100.014,1.47214,0.91898,0.75815,0.95948,0.97742,0.9672,0.60424,1.34727,0.64691,0.7501,0.000470145,0.000470145,0.000470145
46,102.212,1.44888,0.88866,0.75717,0.89681,0.92744,0.96072,0.59896,1.38547,0.74483,0.74878,0.000461898,0.000461898,0.000461898
47,104.365,1.45616,0.88687,0.76218,0.96221,0.97719,0.96518,0.60917,1.30409,0.62788,0.74925,0.000453652,0.000453652,0.000453652
48,106.511,1.40336,0.86176,0.75967,0.95157,0.96092,0.96405,0.61539,1.2878,0.65152,0.74665,0.000445405,0.000445405,0.000445405
49,108.698,1.38983,0.83996,0.75026,0.96463,0.9771,0.96652,0.60611,1.33356,0.64701,0.75012,0.000437158,0.000437158,0.000437158
50,110.823,1.35837,0.82797,0.75676,0.94974,0.97559,0.96917,0.61833,1.28464,0.62993,0.74733,0.000428912,0.000428912,0.000428912
51,112.956,1.40405,0.82395,0.75402,0.94006,0.94888,0.96667,0.60042,1.31174,0.68947,0.74794,0.000420665,0.000420665,0.000420665
52,115.104,1.35984,0.82401,0.75903,0.96833,0.9778,0.96892,0.6054,1.33182,0.60882,0.74707,0.000412418,0.000412418,0.000412418
53,117.252,1.36562,0.83572,0.76329,0.96099,0.97426,0.96759,0.60743,1.33469,0.64077,0.74728,0.000404172,0.000404172,0.000404172
54,119.382,1.31068,0.80996,0.76063,0.96315,0.97422,0.96865,0.60877,1.30545,0.61843,0.74311,0.000395925,0.000395925,0.000395925
55,121.502,1.30531,0.79313,0.76167,0.96711,0.97335,0.96566,0.61553,1.31205,0.59224,0.74108,0.000387678,0.000387678,0.000387678
56,123.635,1.34178,0.82235,0.75918,0.95471,0.9783,0.96987,0.61277,1.34456,0.62441,0.74331,0.000379431,0.000379431,0.000379431
57,125.739,1.34252,0.82845,0.75772,0.96195,0.9792,0.96967,0.60629,1.35141,0.62509,0.74527,0.000371185,0.000371185,0.000371185
58,127.944,1.35436,0.80062,0.75598,0.96441,0.97205,0.97049,0.61145,1.35013,0.62508,0.74282,0.000362938,0.000362938,0.000362938
59,130.095,1.36935,0.80595,0.75972,0.96325,0.97466,0.96543,0.61121,1.31675,0.60475,0.74449,0.000354691,0.000354691,0.000354691
60,132.237,1.31082,0.77024,0.75903,0.96508,0.97315,0.96979,0.62142,1.27876,0.60163,0.74694,0.000346445,0.000346445,0.000346445
61,134.354,1.34893,0.7762,0.75318,0.9583,0.97839,0.96811,0.61407,1.28857,0.60702,0.74363,0.000338198,0.000338198,0.000338198
62,136.49,1.30703,0.74141,0.75373,0.95655,0.97459,0.96834,0.62699,1.27368,0.60034,0.74537,0.000329951,0.000329951,0.000329951
63,138.615,1.28531,0.74782,0.74727,0.9663,0.97883,0.9712,0.62488,1.2793,0.60163,0.7449,0.000321705,0.000321705,0.000321705
64,140.776,1.30422,0.74758,0.74816,0.95659,0.97044,0.9691,0.62394,1.25898,0.61878,0.74496,0.000313458,0.000313458,0.000313458
65,142.949,1.28166,0.74495,0.75678,0.9657,0.97085,0.96969,0.61108,1.27117,0.6052,0.74789,0.000305211,0.000305211,0.000305211
66,145.125,1.38844,0.7736,0.75923,0.96296,0.97658,0.97001,0.61179,1.31538,0.61196,0.74334,0.000296964,0.000296964,0.000296964
67,147.412,1.30129,0.75454,0.75556,0.96656,0.97704,0.96688,0.62102,1.26818,0.59998,0.74227,0.000288718,0.000288718,0.000288718
68,149.581,1.27488,0.74295,0.7564,0.96704,0.97229,0.96837,0.6262,1.24758,0.58097,0.74269,0.000280471,0.000280471,0.000280471
69,151.717,1.27855,0.72874,0.75665,0.94517,0.96488,0.96624,0.61902,1.30963,0.64177,0.7499,0.000272224,0.000272224,0.000272224
