epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.18576,4.4048,9.0152,1.44148,0,0,0,0,2.70768,4.41284,0.84094,0.00024157,0.00024157,0.00024157
2,7.24189,2.71763,3.77374,0.85561,0.01876,0.67969,0.12561,0.04052,2.25902,3.37575,0.77278,0.000486604,0.000486604,0.000486604
3,10.1605,2.41804,2.84065,0.82593,0.02399,0.95669,0.33974,0.1286,2.26087,2.65208,0.79336,0.000726691,0.000726691,0.000726691
4,13.0735,2.26746,2.49201,0.80351,0.32129,0.18327,0.29103,0.06731,3.05692,2.28436,0.87158,0.00080826,0.00080826,0.00080826
5,16.0339,2.11796,2.24473,0.79776,0.41189,0.50823,0.45941,0.19633,2.0985,1.89921,0.77818,0.000800013,0.000800013,0.000800013
6,18.9433,2.00265,2.08508,0.78742,0.45534,0.69341,0.53809,0.27564,1.75329,1.57504,0.7613,0.000791767,0.000791767,0.000791767
7,21.8187,1.94532,1.95075,0.78574,0.42421,0.77376,0.52431,0.27724,1.74515,1.51837,0.76072,0.00078352,0.00078352,0.00078352
8,24.7282,1.92993,1.89622,0.79181,0.52417,0.88885,0.669,0.35233,1.70131,1.26802,0.75256,0.000775273,0.000775273,0.000775273
9,27.636,1.79614,1.77051,0.77867,0.52763,0.89629,0.71138,0.40348,1.51423,1.18368,0.7468,0.000767026,0.000767026,0.000767026
10,30.5354,1.74307,1.75314,0.78487,0.55884,0.85201,0.69916,0.36533,1.77169,1.16549,0.75936,0.00075878,0.00075878,0.00075878
11,33.4249,1.66543,1.67522,0.7802,0.52494,0.89719,0.6424,0.38581,1.48219,1.2023,0.7451,0.000750533,0.000750533,0.000750533
12,36.3613,1.68802,1.61807,0.77557,0.59049,0.87012,0.69856,0.34771,1.84441,1.20706,0.7538,0.000742286,0.000742286,0.000742286
13,39.1956,1.63554,1.56349,0.77573,0.68464,0.85995,0.82484,0.46124,1.64426,1.02139,0.75098,0.00073404,0.00073404,0.00073404
14,42.0698,1.62173,1.52962,0.76844,0.74354,0.88857,0.90791,0.52939,1.58424,0.95243,0.74752,0.000725793,0.000725793,0.000725793
