epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,167.491,1.23655,0.51045,0.73871,0.94263,0.7457,0.7871,0.46511,1.45739,0.85365,0.75229,0.000848969,0.000848969,0.000848969
43,171.398,1.24817,0.51509,0.73219,0.90072,0.73808,0.75157,0.37974,1.7834,0.80544,0.77747,0.000834822,0.000834822,0.000834822
44,175.528,1.24195,0.50679,0.73626,0.8645,0.75207,0.74951,0.35013,1.92074,0.80557,0.77926,0.000820675,0.000820675,0.000820675
45,179.563,1.26387,0.51378,0.73321,0.89757,0.7526,0.75787,0.36777,1.80732,0.88183,0.77243,0.000806528,0.000806528,0.000806528
46,183.701,1.2601,0.51689,0.73359,0.81621,0.74097,0.74435,0.32614,1.92913,0.91162,0.78208,0.00079238,0.00079238,0.00079238
47,187.907,1.25726,0.52131,0.73443,0.91295,0.74414,0.76848,0.34589,1.9175,0.86468,0.77817,0.000778233,0.000778233,0.000778233
48,192.104,1.24009,0.50571,0.73873,0.89109,0.74834,0.77924,0.34238,1.95235,0.78666,0.78434,0.000764086,0.000764086,0.000764086
49,196.312,1.19425,0.49195,0.73925,0.80808,0.68701,0.69748,0.26778,2.24615,0.86232,0.80688,0.000749939,0.000749939,0.000749939
50,200.409,1.24179,0.50821,0.73559,0.84847,0.74376,0.77015,0.39764,1.71698,0.81234,0.76463,0.000735792,0.000735792,0.000735792
51,204.798,1.23111,0.50101,0.73724,0.92257,0.77309,0.78927,0.42087,1.66782,0.74275,0.76711,0.000721645,0.000721645,0.000721645
52,209.004,1.24741,0.51962,0.73362,0.76462,0.73124,0.72578,0.33845,1.95914,0.83032,0.78171,0.000707498,0.000707498,0.000707498
53,213.207,1.24449,0.50794,0.73637,0.85756,0.75055,0.75184,0.43053,1.56105,0.80596,0.76154,0.000693351,0.000693351,0.000693351
54,217.34,1.22779,0.49773,0.7372,0.90512,0.72984,0.76203,0.39005,1.69739,0.97524,0.76547,0.000679204,0.000679204,0.000679204
55,221.367,1.24135,0.49227,0.73073,0.92724,0.76291,0.7839,0.38675,1.79705,0.78557,0.77414,0.000665057,0.000665057,0.000665057
56,225.311,1.23093,0.49391,0.73012,0.90506,0.77714,0.78459,0.4105,1.72076,0.73295,0.77122,0.000650909,0.000650909,0.000650909
57,229.332,1.20362,0.48745,0.73213,0.88843,0.73981,0.74949,0.3869,1.77863,0.83314,0.77284,0.000636762,0.000636762,0.000636762
